year,area,area_name,xtype,racecomp,ss
2024,45,South Carolina,No young children,Total,0.59194676
2024,45,South Carolina,One or more young children,Total,0.405885779
2024,45,South Carolina,No young children,White,0.632491928
2024,45,South Carolina,One or more young children,White,0.497200875
2024,45,South Carolina,No young children,People of Color,0.508876357
2024,45,South Carolina,One or more young children,People of Color,0.28257866
2024,46,South Dakota,No young children,Total,0.645080988
2024,46,South Dakota,One or more young children,Total,0.479738767
2024,46,South Dakota,No young children,White,0.660682937
2024,46,South Dakota,One or more young children,White,0.549637886
2024,46,South Dakota,No young children,People of Color,0.552101089
2024,46,South Dakota,One or more young children,People of Color,0.221508652
2024,47,Tennessee,No young children,Total,0.608263282
2024,47,Tennessee,One or more young children,Total,0.490912723
2024,47,Tennessee,No young children,White,0.63770788
2024,47,Tennessee,One or more young children,White,0.578188076
2024,47,Tennessee,No young children,People of Color,0.517994016
2024,47,Tennessee,One or more young children,People of Color,0.298893271
2024,48,Texas,No young children,Total,0.616300196
2024,48,Texas,One or more young children,Total,0.461007053
2024,48,Texas,No young children,White,0.680032334
2024,48,Texas,One or more young children,White,0.619026622
2024,48,Texas,No young children,People of Color,0.556640983
2024,48,Texas,One or more young children,People of Color,0.376889429
2024,49,Utah,No young children,Total,0.637565124
2024,49,Utah,One or more young children,Total,0.357991867
2024,49,Utah,No young children,White,0.659394533
2024,49,Utah,One or more young children,White,0.390300621
2024,49,Utah,No young children,People of Color,0.549444133
2024,49,Utah,One or more young children,People of Color,0.264596967
2024,50,Vermont,No young children,Total,0.596342258
2024,50,Vermont,One or more young children,Total,0.441647696
2024,50,Vermont,No young children,White,0.606684586
2024,50,Vermont,One or more young children,White,0.450320293
2024,50,Vermont,No young children,People of Color,0.482406388
2024,50,Vermont,One or more young children,People of Color,0.349606597
2024,51,Virginia,No young children,Total,0.633067468
2024,51,Virginia,One or more young children,Total,0.418226966
2024,51,Virginia,No young children,White,0.667844954
2024,51,Virginia,One or more young children,White,0.479271483
2024,51,Virginia,No young children,People of Color,0.567080016
2024,51,Virginia,One or more young children,People of Color,0.345977291
2024,53,Washington,No young children,Total,0.620291408
2024,53,Washington,One or more young children,Total,0.436140859
2024,53,Washington,No young children,White,0.632088714
2024,53,Washington,One or more young children,White,0.486602108
2024,53,Washington,No young children,People of Color,0.589958834
