year,area,area_name,xtype,racecomp,exp
2024,32,Nevada,Total cost of childcare,White,13.941905
2024,32,Nevada,Total cost of childcare,Black,37.073852
2024,32,Nevada,Total cost of childcare,Hispanic,25.916803
2024,32,Nevada,Total cost of childcare,Asian,16.070977
2024,32,Nevada,Total cost of childcare,Other,17.653465
2024,32,Nevada,Total cost of childcare,People of Color,24.109958
2024,33,New Hampshire,Total cost of childcare,Total,14.332959
2024,33,New Hampshire,Total cost of childcare,White,13.840087
2024,33,New Hampshire,Total cost of childcare,Black,36.114659
2024,33,New Hampshire,Total cost of childcare,Hispanic,15.377003
2024,33,New Hampshire,Total cost of childcare,Asian,12.321898
2024,33,New Hampshire,Total cost of childcare,Other,20.869207
2024,33,New Hampshire,Total cost of childcare,People of Color,16.155754
2024,34,New Jersey,Total cost of childcare,Total,13.173675
2024,34,New Jersey,Total cost of childcare,White,10.761581
2024,34,New Jersey,Total cost of childcare,Black,19.036769
2024,34,New Jersey,Total cost of childcare,Hispanic,21.444728
2024,34,New Jersey,Total cost of childcare,Asian,7.6188944
2024,34,New Jersey,Total cost of childcare,Other,13.080039
2024,34,New Jersey,Total cost of childcare,People of Color,15.896
2024,35,New Mexico,Total cost of childcare,Total,15.100454
2024,35,New Mexico,Total cost of childcare,White,10.444895
2024,35,New Mexico,Total cost of childcare,Black,14.156089
2024,35,New Mexico,Total cost of childcare,Hispanic,17.541621
2024,35,New Mexico,Total cost of childcare,Asian,13.994149
2024,35,New Mexico,Total cost of childcare,Other,24.191659
2024,35,New Mexico,Total cost of childcare,People of Color,17.505697
2024,36,New York,Total cost of childcare,Total,19.361227
2024,36,New York,Total cost of childcare,White,15.432631
2024,36,New York,Total cost of childcare,Black,31.27524
2024,36,New York,Total cost of childcare,Hispanic,27.24949
2024,36,New York,Total cost of childcare,Asian,17.462874
2024,36,New York,Total cost of childcare,Other,20.784818
2024,36,New York,Total cost of childcare,People of Color,25.270852
2024,37,North Carolina,Total cost of childcare,Total,12.202519
2024,37,North Carolina,Total cost of childcare,White,10.17383
2024,37,North Carolina,Total cost of childcare,Black,19.183982
2024,37,North Carolina,Total cost of childcare,Hispanic,18.49039
2024,37,North Carolina,Total cost of childcare,Asian,7.5161642
2024,37,North Carolina,Total cost of childcare,Other,12.354473
2024,37,North Carolina,Total cost of childcare,People of Color,16.629463
2024,38,North Dakota,Total cost of childcare,Total,15.154275
2024,38,North Dakota,Total cost of childcare,White,13.377944
2024,38,North Dakota,Total cost of childcare,Black,37.908125
2024,38,North Dakota,Total cost of childcare,Hispanic,19.55629
2024,38,North Dakota,Total cost of childcare,Asian,22.551675
2024,38,North Dakota,Total cost of childcare,Other,19.597528
2024,38,North Dakota,Total cost of childcare,People of Color,25.022184
2024,39,Ohio,Total cost of childcare,Total,16.651294
2024,39,Ohio,Total cost of childcare,White,14.812701
2024,39,Ohio,Total cost of childcare,Black,33.076566
2024,39,Ohio,Total cost of childcare,Hispanic,21.142525
2024,39,Ohio,Total cost of childcare,Asian,13.908024
2024,39,Ohio,Total cost of childcare,Other,21.163083
2024,39,Ohio,Total cost of childcare,People of Color,25.243496
2024,40,Oklahoma,Total cost of childcare,Total,16.023155
2024,40,Oklahoma,Total cost of childcare,White,13.877775
2024,40,Oklahoma,Total cost of childcare,Black,23.810535
2024,40,Oklahoma,Total cost of childcare,Hispanic,22.562565
2024,40,Oklahoma,Total cost of childcare,Asian,14.773095
2024,40,Oklahoma,Total cost of childcare,Other,16.829201
2024,40,Oklahoma,Total cost of childcare,People of Color,20.15371
2024,41,Oregon,Total cost of childcare,Total,11.683593
2024,41,Oregon,Total cost of childcare,White,10.139542
2024,41,Oregon,Total cost of childcare,Black,16.858655
2024,41,Oregon,Total cost of childcare,Hispanic,16.632946
2024,41,Oregon,Total cost of childcare,Asian,9.4913962
2024,41,Oregon,Total cost of childcare,Other,14.505813
2024,41,Oregon,Total cost of childcare,People of Color,14.936303
2024,42,Pennsylvania,Total cost of childcare,Total,16.417574
2024,42,Pennsylvania,Total cost of childcare,White,14.113263
2024,42,Pennsylvania,Total cost of childcare,Black,26.9323
2024,42,Pennsylvania,Total cost of childcare,Hispanic,28.404468
2024,42,Pennsylvania,Total cost of childcare,Asian,13.346285
2024,42,Pennsylvania,Total cost of childcare,Other,19.4582
2024,42,Pennsylvania,Total cost of childcare,People of Color,24.357364
2024,44,Rhode Island,Total cost of childcare,Total,10.946276
2024,44,Rhode Island,Total cost of childcare,White,8.5452644
2024,44,Rhode Island,Total cost of childcare,Black,10.359625
2024,44,Rhode Island,Total cost of childcare,Hispanic,20.350039
2024,44,Rhode Island,Total cost of childcare,Asian,16.103987
2024,44,Rhode Island,Total cost of childcare,Other,9.5653249
2024,44,Rhode Island,Total cost of childcare,People of Color,16.846309
2024,45,South Carolina,Total cost of childcare,Total,14.762375
2024,45,South Carolina,Total cost of childcare,White,11.739968
2024,45,South Carolina,Total cost of childcare,Black,24.121198
2024,45,South Carolina,Total cost of childcare,Hispanic,19.063523
2024,45,South Carolina,Total cost of childcare,Asian,8.1782434
2024,45,South Carolina,Total cost of childcare,Other,17.150767
2024,45,South Carolina,Total cost of childcare,People of Color,21.246332
2024,46,South Dakota,Total cost of childcare,Total,12.927254
2024,46,South Dakota,Total cost of childcare,White,11.388678
2024,46,South Dakota,Total cost of childcare,Black,22.173682
2024,46,South Dakota,Total cost of childcare,Hispanic,16.387677
2024,46,South Dakota,Total cost of childcare,Asian,36.20577
2024,46,South Dakota,Total cost of childcare,Other,29.507514
2024,46,South Dakota,Total cost of childcare,People of Color,22.377508
2024,47,Tennessee,Total cost of childcare,Total,9.9858993
2024,47,Tennessee,Total cost of childcare,White,8.4457985
2024,47,Tennessee,Total cost of childcare,Black,18.753229
2024,47,Tennessee,Total cost of childcare,Hispanic,16.888755
2024,47,Tennessee,Total cost of childcare,Asian,8.1199166
2024,47,Tennessee,Total cost of childcare,Other,11.03922
2024,47,Tennessee,Total cost of childcare,People of Color,15.682963
2024,48,Texas,Total cost of childcare,Total,14.150319
2024,48,Texas,Total cost of childcare,White,10.078152
2024,48,Texas,Total cost of childcare,Black,19.933568
2024,48,Texas,Total cost of childcare,Hispanic,18.762193
2024,48,Texas,Total cost of childcare,Asian,9.0659592
2024,48,Texas,Total cost of childcare,Other,13.158659
2024,48,Texas,Total cost of childcare,People of Color,17.484579
2024,49,Utah,Total cost of childcare,Total,14.052122
2024,49,Utah,Total cost of childcare,White,13.407411
2024,49,Utah,Total cost of childcare,Black,49.863804
2024,49,Utah,Total cost of childcare,Hispanic,17.502548
2024,49,Utah,Total cost of childcare,Asian,14.333864
2024,49,Utah,Total cost of childcare,Other,15.780455
2024,49,Utah,Total cost of childcare,People of Color,17.090231
2024,50,Vermont,Total cost of childcare,Total,17.48024
2024,50,Vermont,Total cost of childcare,White,17.584663
2024,50,Vermont,Total cost of childcare,Black,9.4449691
2024,50,Vermont,Total cost of childcare,Hispanic,20.00268
2024,50,Vermont,Total cost of childcare,Asian,29.87236
2024,50,Vermont,Total cost of childcare,Other,15.663851
2024,50,Vermont,Total cost of childcare,People of Color,15.062246
2024,51,Virginia,Total cost of childcare,Total,14.903695
2024,51,Virginia,Total cost of childcare,White,12.848757
2024,51,Virginia,Total cost of childcare,Black,20.765205
2024,51,Virginia,Total cost of childcare,Hispanic,22.222941
2024,51,Virginia,Total cost of childcare,Asian,11.63915
2024,51,Virginia,Total cost of childcare,Other,14.741345
2024,51,Virginia,Total cost of childcare,People of Color,18.898244
2024,53,Washington,Total cost of childcare,Total,17.798145
2024,53,Washington,Total cost of childcare,White,16.050586
2024,53,Washington,Total cost of childcare,Black,31.276044
2024,53,Washington,Total cost of childcare,Hispanic,25.440714
2024,53,Washington,Total cost of childcare,Asian,12.705131
2024,53,Washington,Total cost of childcare,Other,18.571443
2024,53,Washington,Total cost of childcare,People of Color,20.802221
2024,54,West Virginia,Total cost of childcare,Total,16.199593
2024,54,West Virginia,Total cost of childcare,White,15.842684
2024,54,West Virginia,Total cost of childcare,Black,29.45012
2024,54,West Virginia,Total cost of childcare,Hispanic,15.611156
2024,54,West Virginia,Total cost of childcare,Asian,6.4100496
2024,54,West Virginia,Total cost of childcare,Other,25.49429
2024,54,West Virginia,Total cost of childcare,People of Color,23.011787
2024,55,Wisconsin,Total cost of childcare,Total,17.463297
2024,55,Wisconsin,Total cost of childcare,White,15.579079
2024,55,Wisconsin,Total cost of childcare,Black,49.855624
2024,55,Wisconsin,Total cost of childcare,Hispanic,23.674469
2024,55,Wisconsin,Total cost of childcare,Asian,16.210499
2024,55,Wisconsin,Total cost of childcare,Other,21.497946
2024,55,Wisconsin,Total cost of childcare,People of Color,29.96278
2024,56,Wyoming,Total cost of childcare,Total,13.51342
2024,56,Wyoming,Total cost of childcare,White,13.016708
2024,56,Wyoming,Total cost of childcare,Black,11.266079
2024,56,Wyoming,Total cost of childcare,Hispanic,17.131186
2024,56,Wyoming,Total cost of childcare,Asian,7.6562178
2024,56,Wyoming,Total cost of childcare,Other,13.854528
2024,56,Wyoming,Total cost of childcare,People of Color,14.869892
2024,99999,United States,Total cost of childcare,Total,15.047123
2024,99999,United States,Total cost of childcare,White,12.57383
2024,99999,United States,Total cost of childcare,Black,23.284722
2024,99999,United States,Total cost of childcare,Hispanic,20.396191
2024,99999,United States,Total cost of childcare,Asian,11.528115
2024,99999,United States,Total cost of childcare,Other,16.860353
2024,99999,United States,Total cost of childcare,People of Color,19.109203
