year,area,area_name,xtype,racecomp,ss
2024,23,Maine,One or more young children,Black,0.383113714
2024,23,Maine,One or more young children,Hispanic,0.199167653
2024,23,Maine,One or more young children,Asian,0.308300397
2024,23,Maine,One or more young children,Other,0.338584171
2024,23,Maine,One or more young children,People of Color,0.300974999
2024,24,Maryland,No young children,Total,0.620165726
2024,24,Maryland,No young children,White,0.675216486
2024,24,Maryland,No young children,Black,0.5493756
2024,24,Maryland,No young children,Hispanic,0.522566189
2024,24,Maryland,No young children,Asian,0.6309149
2024,24,Maryland,No young children,Other,0.570830659
2024,24,Maryland,No young children,People of Color,0.557308114
2024,24,Maryland,One or more young children,Total,0.405062338
2024,24,Maryland,One or more young children,White,0.515897541
2024,24,Maryland,One or more young children,Black,0.316651061
2024,24,Maryland,One or more young children,Hispanic,0.220041536
2024,24,Maryland,One or more young children,Asian,0.471450227
2024,24,Maryland,One or more young children,Other,0.426229044
2024,24,Maryland,One or more young children,People of Color,0.322398622
2024,25,Massachusetts,No young children,Total,0.559768864
2024,25,Massachusetts,No young children,White,0.591880478
2024,25,Massachusetts,No young children,Black,0.410742323
2024,25,Massachusetts,No young children,Hispanic,0.402444777
2024,25,Massachusetts,No young children,Asian,0.585574698
2024,25,Massachusetts,No young children,Other,0.489859643
2024,25,Massachusetts,No young children,People of Color,0.463969585
2024,25,Massachusetts,One or more young children,Total,0.349921786
2024,25,Massachusetts,One or more young children,White,0.427802512
2024,25,Massachusetts,One or more young children,Black,0.204759762
2024,25,Massachusetts,One or more young children,Hispanic,0.168223909
2024,25,Massachusetts,One or more young children,Asian,0.447034983
2024,25,Massachusetts,One or more young children,Other,0.205837178
2024,25,Massachusetts,One or more young children,People of Color,0.239872028
2024,26,Michigan,No young children,Total,0.595965857
2024,26,Michigan,No young children,White,0.623119155
2024,26,Michigan,No young children,Black,0.435458508
2024,26,Michigan,No young children,Hispanic,0.542812544
2024,26,Michigan,No young children,Asian,0.700064249
2024,26,Michigan,No young children,Other,0.552603987
2024,26,Michigan,No young children,People of Color,0.504904585
2024,26,Michigan,One or more young children,Total,0.427899923
2024,26,Michigan,One or more young children,White,0.472635711
2024,26,Michigan,One or more young children,Black,0.265555331
2024,26,Michigan,One or more young children,Hispanic,0.310199703
2024,26,Michigan,One or more young children,Asian,0.500795884
2024,26,Michigan,One or more young children,Other,0.363320332
2024,26,Michigan,One or more young children,People of Color,0.328425717
2024,27,Minnesota,No young children,Total,0.616008773
2024,27,Minnesota,No young children,White,0.633536843
2024,27,Minnesota,No young children,Black,0.391510053
2024,27,Minnesota,No young children,Hispanic,0.568078979
2024,27,Minnesota,No young children,Asian,0.584964235
2024,27,Minnesota,No young children,Other,0.616183384
2024,27,Minnesota,No young children,People of Color,0.526026864
2024,27,Minnesota,One or more young children,Total,0.387498037
2024,27,Minnesota,One or more young children,White,0.443522019
2024,27,Minnesota,One or more young children,Black,0.125646698
2024,27,Minnesota,One or more young children,Hispanic,0.264317476
2024,27,Minnesota,One or more young children,Asian,0.315827433
2024,27,Minnesota,One or more young children,Other,0.325957579
2024,27,Minnesota,One or more young children,People of Color,0.24046159
2024,28,Mississippi,No young children,Total,0.529651093
2024,28,Mississippi,No young children,White,0.596333369
2024,28,Mississippi,No young children,Black,0.422036411
2024,28,Mississippi,No young children,Hispanic,0.531601656
2024,28,Mississippi,No young children,Asian,0.52800739
2024,28,Mississippi,No young children,Other,0.508405461
2024,28,Mississippi,No young children,People of Color,0.436363931
2024,28,Mississippi,One or more young children,Total,0.425373558
2024,28,Mississippi,One or more young children,White,0.53677189
2024,28,Mississippi,One or more young children,Black,0.287064809
2024,28,Mississippi,One or more young children,Hispanic,0.262334766
2024,28,Mississippi,One or more young children,Asian,0.436796419
2024,28,Mississippi,One or more young children,Other,0.370269875
2024,28,Mississippi,One or more young children,People of Color,0.29422338
2024,29,Missouri,No young children,Total,0.602425252
2024,29,Missouri,No young children,White,0.628403891
2024,29,Missouri,No young children,Black,0.454121094
2024,29,Missouri,No young children,Hispanic,0.492522158
2024,29,Missouri,No young children,Asian,0.646304496
2024,29,Missouri,No young children,Other,0.543763772
2024,29,Missouri,No young children,People of Color,0.4978467
2024,29,Missouri,One or more young children,Total,0.424878519
2024,29,Missouri,One or more young children,White,0.479679548
2024,29,Missouri,One or more young children,Black,0.148183193
2024,29,Missouri,One or more young children,Hispanic,0.289986941
2024,29,Missouri,One or more young children,Asian,0.470349379
2024,29,Missouri,One or more young children,Other,0.352699483
2024,29,Missouri,One or more young children,People of Color,0.255353404
2024,30,Montana,No young children,Total,0.648864233
2024,30,Montana,No young children,White,0.668645925
2024,30,Montana,No young children,Black,0.678993899
2024,30,Montana,No young children,Hispanic,0.482161537
2024,30,Montana,No young children,Asian,0.546879628
2024,30,Montana,No young children,Other,0.512803382
2024,30,Montana,No young children,People of Color,0.50969903
2024,30,Montana,One or more young children,Total,0.396802041
2024,30,Montana,One or more young children,White,0.431105066
2024,30,Montana,One or more young children,Black,0.154532412
2024,30,Montana,One or more young children,Hispanic,0.19657064
2024,30,Montana,One or more young children,Asian,0
2024,30,Montana,One or more young children,Other,0.292912201
2024,30,Montana,One or more young children,People of Color,0.25662788
2024,31,Nebraska,No young children,Total,0.598883172
2024,31,Nebraska,No young children,White,0.620920669
2024,31,Nebraska,No young children,Black,0.353636029
2024,31,Nebraska,No young children,Hispanic,0.497695436
2024,31,Nebraska,No young children,Asian,0.587274465
2024,31,Nebraska,No young children,Other,0.529341823
2024,31,Nebraska,No young children,People of Color,0.484148056
2024,31,Nebraska,One or more young children,Total,0.359858439
2024,31,Nebraska,One or more young children,White,0.42396508
2024,31,Nebraska,One or more young children,Black,0.124264089
2024,31,Nebraska,One or more young children,Hispanic,0.214990686
2024,31,Nebraska,One or more young children,Asian,0.276971949
2024,31,Nebraska,One or more young children,Other,0.210150949
2024,31,Nebraska,One or more young children,People of Color,0.208235494
2024,32,Nevada,No young children,Total,0.599942499
2024,32,Nevada,No young children,White,0.642816288
2024,32,Nevada,No young children,Black,0.478082819
2024,32,Nevada,No young children,Hispanic,0.505659853
2024,32,Nevada,No young children,Asian,0.647122364
2024,32,Nevada,No young children,Other,0.611180778
2024,32,Nevada,No young children,People of Color,0.544399699
2024,32,Nevada,One or more young children,Total,0.379187402
2024,32,Nevada,One or more young children,White,0.537224044
2024,32,Nevada,One or more young children,Black,0.22403574
2024,32,Nevada,One or more young children,Hispanic,0.221042521
2024,32,Nevada,One or more young children,Asian,0.45653539
2024,32,Nevada,One or more young children,Other,0.433837671
2024,32,Nevada,One or more young children,People of Color,0.283450188
2024,33,New Hampshire,No young children,Total,0.6504213
2024,33,New Hampshire,No young children,White,0.649016853
2024,33,New Hampshire,No young children,Black,0.614760274
2024,33,New Hampshire,No young children,Hispanic,0.700206523
2024,33,New Hampshire,No young children,Asian,0.725589046
2024,33,New Hampshire,No young children,Other,0.591226386
2024,33,New Hampshire,No young children,People of Color,0.664267162
2024,33,New Hampshire,One or more young children,Total,0.520491297
2024,33,New Hampshire,One or more young children,White,0.546253112
2024,33,New Hampshire,One or more young children,Black,0.007487132
2024,33,New Hampshire,One or more young children,Hispanic,0.511320174
2024,33,New Hampshire,One or more young children,Asian,0.436698534
2024,33,New Hampshire,One or more young children,Other,0.363727154
2024,33,New Hampshire,One or more young children,People of Color,0.391806103
2024,34,New Jersey,No young children,Total,0.614481577
2024,34,New Jersey,No young children,White,0.654978169
2024,34,New Jersey,No young children,Black,0.533984727
2024,34,New Jersey,No young children,Hispanic,0.468652999
2024,34,New Jersey,No young children,Asian,0.71552621
2024,34,New Jersey,No young children,Other,0.617174491
2024,34,New Jersey,No young children,People of Color,0.55432447
2024,34,New Jersey,One or more young children,Total,0.444575543
2024,34,New Jersey,One or more young children,White,0.537935542
2024,34,New Jersey,One or more young children,Black,0.360843836
2024,34,New Jersey,One or more young children,Hispanic,0.256594689
2024,34,New Jersey,One or more young children,Asian,0.612752372
2024,34,New Jersey,One or more young children,Other,0.42130619
2024,34,New Jersey,One or more young children,People of Color,0.37174609
2024,35,New Mexico,No young children,Total,0.595844309
2024,35,New Mexico,No young children,White,0.655972877
2024,35,New Mexico,No young children,Black,0.545863737
2024,35,New Mexico,No young children,Hispanic,0.537929365
2024,35,New Mexico,No young children,Asian,0.688971387
2024,35,New Mexico,No young children,Other,0.537607062
2024,35,New Mexico,No young children,People of Color,0.54330066
2024,35,New Mexico,One or more young children,Total,0.422855252
2024,35,New Mexico,One or more young children,White,0.550127434
2024,35,New Mexico,One or more young children,Black,0.48203795
2024,35,New Mexico,One or more young children,Hispanic,0.380541237
2024,35,New Mexico,One or more young children,Asian,0.355470167
2024,35,New Mexico,One or more young children,Other,0.288091079
2024,35,New Mexico,One or more young children,People of Color,0.369582722
2024,36,New York,No young children,Total,0.523733937
2024,36,New York,No young children,White,0.600452105
2024,36,New York,No young children,Black,0.390763021
2024,36,New York,No young children,Hispanic,0.342263403
2024,36,New York,No young children,Asian,0.48256201
2024,36,New York,No young children,Other,0.535837987
2024,36,New York,No young children,People of Color,0.405174758
2024,36,New York,One or more young children,Total,0.318291019
2024,36,New York,One or more young children,White,0.427578318
2024,36,New York,One or more young children,Black,0.166402764
2024,36,New York,One or more young children,Hispanic,0.172160131
2024,36,New York,One or more young children,Asian,0.293297502
2024,36,New York,One or more young children,Other,0.343747956
2024,36,New York,One or more young children,People of Color,0.210736028
2024,37,North Carolina,No young children,Total,0.574863731
2024,37,North Carolina,No young children,White,0.61342181
2024,37,North Carolina,No young children,Black,0.478267393
2024,37,North Carolina,No young children,Hispanic,0.467195289
2024,37,North Carolina,No young children,Asian,0.663237801
2024,37,North Carolina,No young children,Other,0.54821955
2024,37,North Carolina,No young children,People of Color,0.498774849
2024,37,North Carolina,One or more young children,Total,0.438044338
2024,37,North Carolina,One or more young children,White,0.528647793
2024,37,North Carolina,One or more young children,Black,0.295930556
2024,37,North Carolina,One or more young children,Hispanic,0.201484967
2024,37,North Carolina,One or more young children,Asian,0.631160815
2024,37,North Carolina,One or more young children,Other,0.454665602
2024,37,North Carolina,One or more young children,People of Color,0.325034084
2024,38,North Dakota,No young children,Total,0.668614954
2024,38,North Dakota,No young children,White,0.676952206
2024,38,North Dakota,No young children,Black,0.829354746
2024,38,North Dakota,No young children,Hispanic,0.61882211
2024,38,North Dakota,No young children,Asian,0.627537766
2024,38,North Dakota,No young children,Other,0.548556153
2024,38,North Dakota,No young children,People of Color,0.620143672
2024,38,North Dakota,One or more young children,Total,0.515273832
2024,38,North Dakota,One or more young children,White,0.590679202
2024,38,North Dakota,One or more young children,Black,0.199470792
2024,38,North Dakota,One or more young children,Hispanic,0.353748478
2024,38,North Dakota,One or more young children,Asian,0.127562105
2024,38,North Dakota,One or more young children,Other,0.356654056
2024,38,North Dakota,One or more young children,People of Color,0.295678186
2024,39,Ohio,No young children,Total,0.629854696
2024,39,Ohio,No young children,White,0.660537468
2024,39,Ohio,No young children,Black,0.47022506
2024,39,Ohio,No young children,Hispanic,0.530759327
2024,39,Ohio,No young children,Asian,0.618070951
2024,39,Ohio,No young children,Other,0.553417787
2024,39,Ohio,No young children,People of Color,0.509697624
2024,39,Ohio,One or more young children,Total,0.454228257
2024,39,Ohio,One or more young children,White,0.508833825
2024,39,Ohio,One or more young children,Black,0.259110004
2024,39,Ohio,One or more young children,Hispanic,0.345009812
2024,39,Ohio,One or more young children,Asian,0.428661661
2024,39,Ohio,One or more young children,Other,0.371989149
2024,39,Ohio,One or more young children,People of Color,0.316853129
2024,40,Oklahoma,No young children,Total,0.573651875
2024,40,Oklahoma,No young children,White,0.598692201
2024,40,Oklahoma,No young children,Black,0.468461871
2024,40,Oklahoma,No young children,Hispanic,0.512185714
2024,40,Oklahoma,No young children,Asian,0.4654883
2024,40,Oklahoma,No young children,Other,0.546903202
2024,40,Oklahoma,No young children,People of Color,0.514162454
2024,40,Oklahoma,One or more young children,Total,0.384253548
2024,40,Oklahoma,One or more young children,White,0.43599713
2024,40,Oklahoma,One or more young children,Black,0.336122766
2024,40,Oklahoma,One or more young children,Hispanic,0.24918676
2024,40,Oklahoma,One or more young children,Asian,0.394950424
2024,40,Oklahoma,One or more young children,Other,0.341051441
2024,40,Oklahoma,One or more young children,People of Color,0.307520778
2024,41,Oregon,No young children,Total,0.507306509
2024,41,Oregon,No young children,White,0.515433337
2024,41,Oregon,No young children,Black,0.452792981
2024,41,Oregon,No young children,Hispanic,0.451280573
2024,41,Oregon,No young children,Asian,0.523631798
2024,41,Oregon,No young children,Other,0.483274529
2024,41,Oregon,No young children,People of Color,0.475644016
2024,41,Oregon,One or more young children,Total,0.3336903
2024,41,Oregon,One or more young children,White,0.368488852
2024,41,Oregon,One or more young children,Black,0.299040659
2024,41,Oregon,One or more young children,Hispanic,0.245902515
2024,41,Oregon,One or more young children,Asian,0.337222062
2024,41,Oregon,One or more young children,Other,0.24944918
2024,41,Oregon,One or more young children,People of Color,0.264677351
2024,42,Pennsylvania,No young children,Total,0.591458817
2024,42,Pennsylvania,No young children,White,0.618976946
2024,42,Pennsylvania,No young children,Black,0.438843304
2024,42,Pennsylvania,No young children,Hispanic,0.479767357
